day_of_year,Name,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2021-11-20,Calderdale And Huddersfield NHS Foundation Trust,0,0,0,708,708,708,655,655,655,0.6923076923076923,0.6923076923076923,0.6923076923076923,315,315,315,117,117,117
2021-11-20,Cambridge University Hospitals NHS Foundation Trust,0,0,0,967,967,967,892,892,892,0.9152542372881356,0.9152542372881356,0.9152542372881356,532,532,532,204,204,204
2021-11-20,Chelsea And Westminster Hospital NHS Foundation Trust,0,0,0,695,695,695,655,655,655,0.7222222222222222,0.7222222222222222,0.7222222222222222,283,283,283,119,119,119
2021-11-20,Chesterfield Royal Hospital NHS Foundation Trust,0,0,0,468,468,468,441,441,441,1,1,1,167,167,167,56,56,56
2021-11-20,City Hospitals Sunderland NHS Foundation Trust,0,0,0,725,725,725,617,617,617,0.6111111111111112,0.6111111111111112,0.6111111111111112,255,255,255,91,91,91
2021-11-20,Colchester Hospital University NHS Foundation Trust,0,0,0,565,565,565,558,558,558,0.7692307692307693,0.7692307692307693,0.7692307692307693,244,244,244,64,64,64
2021-11-20,Countess Of Chester Hospital NHS Foundation Trust,0,0,0,512,512,512,496,496,496,0.9333333333333333,0.9333333333333333,0.9333333333333333,270,270,270,91,91,91
2021-11-20,County Durham And Darlington NHS Foundation Trust,0,0,0,875,875,875,750,750,750,0.6666666666666666,0.6666666666666666,0.6666666666666666,350,350,350,120,120,120
2021-11-20,Croydon Health Services NHS Trust,0,0,0,490,490,490,488,488,488,0.5714285714285714,0.5714285714285714,0.5714285714285714,216,216,216,82,82,82
2021-11-20,Dartford And Gravesham NHS Trust,0,0,0,506,506,506,488,488,488,NA,NA,NA,215,215,215,84,84,84
2021-11-20,Derby Teaching Hospitals NHS Foundation Trust,0,0,0,1083,1083,1083,947,947,947,0.7555555555555555,0.7555555555555555,0.7555555555555555,425,425,425,143,143,143
2021-11-20,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,0,0,0,762,762,762,730,730,730,0.8,0.8,0.8,229,229,229,135,135,135
2021-11-20,Dorset County Hospital NHS Foundation Trust,0,0,0,292,292,292,270,270,270,0.75,0.75,0.75,123,123,123,47,47,47
2021-11-20,East And North Hertfordshire NHS Trust,0,0,0,580,580,580,561,561,561,0.75,0.75,0.75,290,290,290,113,113,113
2021-11-20,East Cheshire NHS Trust,0,0,0,244,244,244,240,240,240,0.5,0.5,0.5,130,130,130,55,55,55
2021-11-20,East Kent Hospitals University NHS Foundation Trust,0,0,0,907,907,907,833,833,833,0.7333333333333333,0.7333333333333333,0.7333333333333333,417,417,417,136,136,136
2021-11-20,East Lancashire Hospitals NHS Trust,0,0,0,938,938,938,907,907,907,0.7083333333333334,0.7083333333333334,0.7083333333333334,254,254,254,76,76,76
2021-11-20,East Sussex Healthcare NHS Trust,0,0,0,740,740,740,703,703,703,NA,NA,NA,398,398,398,171,171,171
2021-11-20,Epsom And St Helier University Hospitals NHS Trust,0,0,0,776,776,776,695,695,695,0.8571428571428571,0.8571428571428571,0.8571428571428571,376,376,376,176,176,176
2021-11-20,Frimley Health NHS Foundation Trust,0,0,0,1277,1277,1277,1272,1272,1272,0.875,0.875,0.875,624,624,624,273,273,273
2021-11-20,Gateshead Health NHS Foundation Trust,0,0,0,447,447,447,420,420,420,0.5714285714285714,0.5714285714285714,0.5714285714285714,244,244,244,87,87,87
2021-11-20,George Eliot Hospital NHS Trust,1,1,1,304,304,304,304,304,304,0.875,0.875,0.875,130,130,130,41,41,41
2021-11-20,Gloucestershire Hospitals NHS Foundation Trust,0,0,0,955,955,955,887,887,887,0.9523809523809523,0.9523809523809523,0.9523809523809523,488,488,488,194,194,194
2021-11-20,Great Western Hospitals NHS Foundation Trust,0,0,0,508,508,508,481,481,481,0.8333333333333334,0.8333333333333334,0.8333333333333334,211,211,211,61,61,61
2021-11-20,Guy's And St Thomas' NHS Foundation Trust,0,0,0,753,753,753,704,704,704,0.8780487804878049,0.8780487804878049,0.8780487804878049,40,40,40,164,164,164
2021-11-20,Hampshire Hospitals NHS Foundation Trust,0,0,0,801,801,801,714,714,714,0.782608695652174,0.782608695652174,0.782608695652174,438,438,438,207,207,207
2021-11-20,Harrogate And District NHS Foundation Trust,0,0,0,296,296,296,284,284,284,1,1,1,161,161,161,71,71,71
2021-11-20,Heart Of England NHS Foundation Trust,0,0,0,1250,1250,1250,1110,1110,1110,1,1,1,696,696,696,243,243,243
2021-11-20,Homerton University Hospital NHS Foundation Trust,0,0,0,248,248,248,234,234,234,1,1,1,0,0,0,0,0,0
2021-11-20,Hull And East Yorkshire Hospitals NHS Trust,0,0,0,1005,1005,1005,942,942,942,0.7045454545454546,0.7045454545454546,0.7045454545454546,388,388,388,113,113,113
2021-11-20,Imperial College Healthcare NHS Trust,0,0,0,919,919,919,853,853,853,0.9716981132075472,0.9716981132075472,0.9716981132075472,477,477,477,207,207,207
2021-11-20,Ipswich Hospital NHS Trust,0,0,0,640,640,640,628,628,628,0.75,0.75,0.75,290,290,290,106,106,106
2021-11-20,Isle Of Wight NHS Trust,0,0,0,245,245,245,227,227,227,0.6666666666666666,0.6666666666666666,0.6666666666666666,130,130,130,50,50,50
2021-11-20,James Paget University Hospitals NHS Foundation Trust,1,1,1,442,442,442,442,442,442,1,1,1,221,221,221,79,79,79
2021-11-20,Kettering General Hospital NHS Foundation Trust,0,0,0,587,587,587,583,583,583,1,1,1,312,312,312,139,139,139
2021-11-20,King's College Hospital NHS Foundation Trust,1,1,1,1351,1351,1351,1351,1351,1351,0.96875,0.96875,0.96875,540,540,540,247,247,247
2021-11-20,Kingston Hospital NHS Foundation Trust,0,0,0,387,387,387,376,376,376,1,1,1,152,152,152,53,53,53
2021-11-20,Lancashire Teaching Hospitals NHS Foundation Trust,0,0,0,889,889,889,868,868,868,0.6785714285714286,0.6785714285714286,0.6785714285714286,429,429,429,194,194,194
2021-11-20,Leeds Teaching Hospitals NHS Trust,0,0,0,1704,1704,1704,1669,1669,1669,0.7358490566037735,0.7358490566037735,0.7358490566037735,1025,1025,1025,475,475,475
2021-11-20,Lewisham And Greenwich NHS Trust,0,0,0,837,837,837,832,832,832,0.7631578947368421,0.7631578947368421,0.7631578947368421,383,383,383,171,171,171
2021-11-20,London North West Healthcare NHS Trust,0,0,0,1093,1093,1093,1062,1062,1062,0.7878787878787878,0.7878787878787878,0.7878787878787878,747,747,747,275,275,275
2021-11-20,Luton And Dunstable University Hospital NHS Foundation Trust,0,0,0,656,656,656,642,642,642,0.6296296296296297,0.6296296296296297,0.6296296296296297,298,298,298,114,114,114
2021-11-20,Maidstone And Tunbridge Wells NHS Trust,0,0,0,740,740,740,692,692,692,0.625,0.625,0.625,404,404,404,166,166,166
2021-11-20,Manchester University NHS Foundation Trust,0,0,0,1919,1919,1919,1808,1808,1808,0.8842105263157894,0.8842105263157894,0.8842105263157894,953,953,953,458,458,458
2021-11-20,Medway NHS Foundation Trust,0,0,0,460,460,460,441,441,441,0.9310344827586207,0.9310344827586207,0.9310344827586207,205,205,205,51,51,51
2021-11-20,Mid Cheshire Hospitals NHS Foundation Trust,0,0,0,460,460,460,423,423,423,0.45454545454545453,0.45454545454545453,0.45454545454545453,241,241,241,105,105,105
2021-11-20,Mid Essex Hospital Services NHS Trust,0,0,0,512,512,512,510,510,510,0.5,0.5,0.5,223,223,223,41,41,41
2021-11-20,Mid Yorkshire Hospitals NHS Trust,0,0,0,989,989,989,935,935,935,0.55,0.55,0.55,447,447,447,159,159,159
2021-11-20,Milton Keynes University Hospital NHS Foundation Trust,1,1,1,470,470,470,470,470,470,0.6666666666666666,0.6666666666666666,0.6666666666666666,209,209,209,78,78,78
2021-11-20,Norfolk And Norwich University Hospitals NHS Foundation Trust,0,0,0,866,866,866,820,820,820,0,0,0,332,332,332,94,94,94
2021-11-20,North Bristol NHS Trust,0,0,0,909,909,909,885,885,885,0.9,0.9,0.9,476,476,476,180,180,180
2021-11-20,North Cumbria University Hospitals NHS Trust,0,0,0,522,522,522,482,482,482,0.7333333333333333,0.7333333333333333,0.7333333333333333,185,185,185,69,69,69
2021-11-20,North Middlesex University Hospital NHS Trust,1,1,1,446,446,446,446,446,446,0.2,0.2,0.2,165,165,165,75,75,75
2021-11-20,North Tees And Hartlepool NHS Foundation Trust,0,0,0,576,576,576,539,539,539,0.625,0.625,0.625,269,269,269,80,80,80
2021-11-20,North West Anglia NHS Foundation Trust,0,0,0,769,769,769,720,720,720,0.8636363636363636,0.8636363636363636,0.8636363636363636,337,337,337,102,102,102
2021-11-20,Northampton General Hospital NHS Trust,1,1,1,680,680,680,680,680,680,0.75,0.75,0.75,437,437,437,223,223,223
2021-11-20,Northern Devon Healthcare NHS Trust,0,0,0,249,249,249,224,224,224,0.625,0.625,0.625,79,79,79,18,18,18
2021-11-20,Northern Lincolnshire And Goole NHS Foundation Trust,0,0,0,716,716,716,645,645,645,0.8095238095238095,0.8095238095238095,0.8095238095238095,307,307,307,78,78,78
2021-11-20,Northumbria Healthcare NHS Foundation Trust,0,0,0,1049,1049,1049,1002,1002,1002,0.9642857142857143,0.9642857142857143,0.9642857142857143,420,420,420,161,161,161
2021-11-20,Nottingham University Hospitals NHS Trust,0,0,0,1467,1467,1467,1397,1397,1397,0.7586206896551724,0.7586206896551724,0.7586206896551724,734,734,734,297,297,297
2021-11-20,Oxford University Hospitals NHS Foundation Trust,0,0,0,1041,1041,1041,1014,1014,1014,0.796875,0.796875,0.796875,701,701,701,299,299,299
2021-11-20,Pennine Acute Hospitals NHS Trust,0,0,0,1092,1092,1092,1050,1050,1050,0.9705882352941176,0.9705882352941176,0.9705882352941176,346,346,346,111,111,111
2021-11-20,Plymouth Hospitals NHS Trust,0,0,0,822,822,822,812,812,812,0.7380952380952381,0.7380952380952381,0.7380952380952381,354,354,354,92,92,92
2021-11-20,Poole Hospital NHS Foundation Trust,0,0,0,479,479,479,470,470,470,0.9090909090909091,0.9090909090909091,0.9090909090909091,196,196,196,62,62,62
2021-11-20,Portsmouth Hospitals NHS Trust,0,0,0,1045,1045,1045,1013,1013,1013,0.6842105263157895,0.6842105263157895,0.6842105263157895,596,596,596,292,292,292
2021-11-20,Royal Berkshire NHS Foundation Trust,0,0,0,635,635,635,620,620,620,0.9230769230769231,0.9230769230769231,0.9230769230769231,266,266,266,100,100,100
2021-11-20,Royal Cornwall Hospitals NHS Trust,0,0,0,642,642,642,580,580,580,0.8,0.8,0.8,240,240,240,90,90,90
2021-11-20,Royal Devon And Exeter NHS Foundation Trust,0,0,0,644,644,644,603,603,603,0.68,0.68,0.68,291,291,291,80,80,80
2021-11-20,Royal Free London NHS Foundation Trust,0,0,0,873,873,873,868,868,868,0.9259259259259259,0.9259259259259259,0.9259259259259259,515,515,515,204,204,204
2021-11-20,Royal Liverpool And Broadgreen University Hospitals NHS Trust,0,0,0,836,836,836,787,787,787,0.7837837837837838,0.7837837837837838,0.7837837837837838,436,436,436,183,183,183
2021-11-20,Royal Surrey County Hospital NHS Foundation Trust,0,0,0,390,390,390,379,379,379,0.7391304347826086,0.7391304347826086,0.7391304347826086,202,202,202,79,79,79
2021-11-20,Royal United Hospitals Bath NHS Foundation Trust,0,0,0,643,643,643,629,629,629,0.6923076923076923,0.6923076923076923,0.6923076923076923,278,278,278,63,63,63
2021-11-20,Salford Royal NHS Foundation Trust,0,0,0,770,770,770,742,742,742,0.6888888888888889,0.6888888888888889,0.6888888888888889,399,399,399,187,187,187
2021-11-20,Salisbury NHS Foundation Trust,0,0,0,405,405,405,398,398,398,0.7,0.7,0.7,201,201,201,83,83,83
2021-11-20,Sandwell And West Birmingham Hospitals NHS Trust,0,0,0,592,592,592,578,578,578,0.7647058823529411,0.7647058823529411,0.7647058823529411,321,321,321,121,121,121
2021-11-20,Sheffield Children's NHS Foundation Trust,0,0,0,149,149,149,119,119,119,NA,NA,NA,34,34,34,18,18,18
2021-11-20,Sheffield Teaching Hospitals NHS Foundation Trust,0,0,0,1513,1513,1513,1437,1437,1437,0.7087378640776699,0.7087378640776699,0.7087378640776699,742,742,742,322,322,322
2021-11-20,Sherwood Forest Hospitals NHS Foundation Trust,0,0,0,615,615,615,581,581,581,0.9090909090909091,0.9090909090909091,0.9090909090909091,280,280,280,105,105,105
2021-11-20,Shrewsbury And Telford Hospital NHS Trust,0,0,0,696,696,696,669,669,669,0.9,0.9,0.9,342,342,342,99,99,99
2021-11-20,South Tees Hospitals NHS Foundation Trust,0,0,0,835,835,835,752,752,752,0.7971014492753623,0.7971014492753623,0.7971014492753623,311,311,311,99,99,99
2021-11-20,South Tyneside NHS Foundation Trust,0,0,0,289,289,289,275,275,275,0.8333333333333334,0.8333333333333334,0.8333333333333334,89,89,89,17,17,17
2021-11-20,South Warwickshire NHS Foundation Trust,0,0,0,467,467,467,457,457,457,0.8571428571428571,0.8571428571428571,0.8571428571428571,158,158,158,54,54,54
2021-11-20,Southend University Hospital NHS Foundation Trust,0,0,0,536,536,536,530,530,530,1,1,1,194,194,194,62,62,62
2021-11-20,Southport And Ormskirk Hospital NHS Trust,0,0,0,394,394,394,376,376,376,0.9090909090909091,0.9090909090909091,0.9090909090909091,206,206,206,92,92,92
2021-11-20,St George's University Hospitals NHS Foundation Trust,0,0,0,844,844,844,823,823,823,0.9166666666666666,0.9166666666666666,0.9166666666666666,299,299,299,114,114,114
2021-11-20,St Helens And Knowsley Hospital Services NHS Trust,0,0,0,689,689,689,657,657,657,0.9285714285714286,0.9285714285714286,0.9285714285714286,335,335,335,143,143,143
2021-11-20,Stockport NHS Foundation Trust,NA,NA,NA,NA,-Inf,Inf,NA,-Inf,Inf,NA,NA,NA,0,0,0,0,0,0
2021-11-20,Surrey And Sussex Healthcare NHS Trust,0,0,0,624,624,624,600,600,600,0.9375,0.9375,0.9375,325,325,325,123,123,123
2021-11-20,Tameside And Glossop Integrated Care NHS Foundation Trust,0,0,0,428,428,428,422,422,422,0.7777777777777778,0.7777777777777778,0.7777777777777778,200,200,200,97,97,97
2021-11-20,Taunton And Somerset NHS Foundation Trust,0,0,0,563,563,563,530,530,530,0.75,0.75,0.75,199,199,199,57,57,57
2021-11-20,The Dudley Group NHS Foundation Trust,0,0,0,637,637,637,585,585,585,0.85,0.85,0.85,273,273,273,102,102,102
2021-11-20,The Hillingdon Hospitals NHS Foundation Trust,1,1,1,393,393,393,393,393,393,1,1,1,237,237,237,106,106,106
2021-11-20,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,0,0,0,1509,1509,1509,1326,1326,1326,0.813953488372093,0.813953488372093,0.813953488372093,0,0,0,0,0,0
2021-11-20,The Princess Alexandra Hospital NHS Trust,1,1,1,383,383,383,383,383,383,0.8,0.8,0.8,172,172,172,63,63,63
2021-11-20,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",0,0,0,419,419,419,418,418,418,0.6923076923076923,0.6923076923076923,0.6923076923076923,154,154,154,62,62,62
2021-11-20,The Rotherham NHS Foundation Trust,0,0,0,423,423,423,419,419,419,0.5384615384615384,0.5384615384615384,0.5384615384615384,116,116,116,19,19,19
2021-11-20,The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,0,0,0,560,560,560,522,522,522,0.4166666666666667,0.4166666666666667,0.4166666666666667,261,261,261,96,96,96
2021-11-20,The Royal Wolverhampton NHS Trust,0,0,0,732,732,732,671,671,671,0.6071428571428571,0.6071428571428571,0.6071428571428571,379,379,379,160,160,160
2021-11-20,The Whittington Hospital NHS Trust,0,0,0,235,235,235,221,221,221,0.4,0.4,0.4,149,149,149,50,50,50
2021-11-20,Torbay And South Devon NHS Foundation Trust,0,0,0,389,389,389,343,343,343,0.6,0.6,0.6,139,139,139,22,22,22
2021-11-20,United Lincolnshire Hospitals NHS Trust,0,0,0,943,943,943,927,927,927,0.7419354838709677,0.7419354838709677,0.7419354838709677,405,405,405,119,119,119
2021-11-20,University College London Hospitals NHS Foundation Trust,0,0,0,969,969,969,831,831,831,0.75,0.75,0.75,371,371,371,153,153,153
2021-11-20,University Hospital Southampton NHS Foundation Trust,0,0,0,1174,1174,1174,1116,1116,1116,0.8571428571428571,0.8571428571428571,0.8571428571428571,749,749,749,297,297,297
2021-11-20,University Hospitals Birmingham NHS Foundation Trust,0,0,0,1067,1067,1067,1062,1062,1062,1,1,1,640,640,640,267,267,267
2021-11-20,University Hospitals Bristol NHS Foundation Trust,0,0,0,840,840,840,778,778,778,0.8909090909090909,0.8909090909090909,0.8909090909090909,443,443,443,0,0,0
2021-11-20,University Hospitals Coventry And Warwickshire NHS Trust,0,0,0,1153,1153,1153,1140,1140,1140,0.918918918918919,0.918918918918919,0.918918918918919,392,392,392,168,168,168
2021-11-20,University Hospitals Of Leicester NHS Trust,0,0,0,1640,1640,1640,1507,1507,1507,0.6625,0.6625,0.6625,638,638,638,231,231,231
2021-11-20,University Hospitals Of Morecambe Bay NHS Foundation Trust,0,0,0,652,652,652,635,635,635,1,1,1,310,310,310,122,122,122
2021-11-20,University Hospitals Of North Midlands NHS Trust,0,0,0,1341,1341,1341,1334,1334,1334,0.8873239436619719,0.8873239436619719,0.8873239436619719,805,805,805,342,342,342
2021-11-20,Walsall Healthcare NHS Trust,1,1,1,457,457,457,457,457,457,0.9230769230769231,0.9230769230769231,0.9230769230769231,260,260,260,118,118,118
2021-11-20,Warrington And Halton Hospitals NHS Foundation Trust,0,0,0,534,534,534,482,482,482,1,1,1,268,268,268,118,118,118
2021-11-20,West Hertfordshire Hospitals NHS Trust,0,0,0,677,677,677,624,624,624,0.7894736842105263,0.7894736842105263,0.7894736842105263,368,368,368,141,141,141
2021-11-20,West Suffolk NHS Foundation Trust,0,0,0,431,431,431,423,423,423,0.6666666666666666,0.6666666666666666,0.6666666666666666,155,155,155,44,44,44
2021-11-20,Western Sussex Hospitals NHS Foundation Trust,0,0,0,920,920,920,899,899,899,0.6818181818181818,0.6818181818181818,0.6818181818181818,462,462,462,186,186,186
2021-11-20,Weston Area Health NHS Trust,1,1,1,261,261,261,261,261,261,1,1,1,141,141,141,54,54,54
2021-11-20,Wirral University Teaching Hospital NHS Foundation Trust,0,0,0,778,778,778,771,771,771,0.9444444444444444,0.9444444444444444,0.9444444444444444,356,356,356,158,158,158
2021-11-20,Worcestershire Acute Hospitals NHS Trust,0,0,0,694,694,694,670,670,670,0.9230769230769231,0.9230769230769231,0.9230769230769231,304,304,304,86,86,86
2021-11-20,"Wrightington, Wigan And Leigh NHS Foundation Trust",0,0,0,442,442,442,419,419,419,0.7272727272727273,0.7272727272727273,0.7272727272727273,171,171,171,44,44,44
2021-11-20,Wye Valley NHS Trust,0,0,0,243,243,243,207,207,207,0.6666666666666666,0.6666666666666666,0.6666666666666666,80,80,80,23,23,23
2021-11-20,Yeovil District Hospital NHS Foundation Trust,0,0,0,335,335,335,293,293,293,0.8,0.8,0.8,141,141,141,44,44,44
2021-11-20,York Teaching Hospital NHS Foundation Trust,0,0,0,906,906,906,805,805,805,0.7894736842105263,0.7894736842105263,0.7894736842105263,350,350,350,125,125,125
2021-11-21,Aintree University Hospital NHS Foundation Trust,0,0,0,755,755,755,742,742,742,1,1,1,357,357,357,157,157,157
2021-11-21,Airedale NHS Foundation Trust,0,0,0,342,342,342,340,340,340,1,1,1,146,146,146,57,57,57
2021-11-21,Alder Hey Children's NHS Foundation Trust,0,0,0,160,160,160,139,139,139,NA,NA,NA,110,110,110,65,65,65
2021-11-21,Ashford And St Peter's Hospitals NHS Foundation Trust,0,0,0,425,425,425,418,418,418,0.9230769230769231,0.9230769230769231,0.9230769230769231,228,228,228,75,75,75
2021-11-21,"Barking, Havering And Redbridge University Hospitals NHS Trust",0,0,0,911,911,911,906,906,906,0.9038461538461539,0.9038461538461539,0.9038461538461539,400,400,400,128,128,128
2021-11-21,Barnsley Hospital NHS Foundation Trust,1,1,1,395,395,395,395,395,395,0.8181818181818182,0.8181818181818182,0.8181818181818182,107,107,107,9,9,9
2021-11-21,Barts Health NHS Trust,0,0,0,1472,1472,1472,1423,1423,1423,0.8583333333333333,0.8583333333333333,0.8583333333333333,933,933,933,467,467,467
2021-11-21,Basildon And Thurrock University Hospitals NHS Foundation Trust,0,0,0,696,696,696,692,692,692,0.9411764705882353,0.9411764705882353,0.9411764705882353,318,318,318,111,111,111
2021-11-21,Bedford Hospital NHS Trust,0,0,0,386,386,386,368,368,368,0.8181818181818182,0.8181818181818182,0.8181818181818182,203,203,203,75,75,75
2021-11-21,Birmingham Women's And Children's NHS Foundation Trust,0,0,0,272,272,272,245,245,245,1,1,1,129,129,129,79,79,79
2021-11-21,Blackpool Teaching Hospitals NHS Foundation Trust,0,0,0,800,800,800,796,796,796,1,1,1,472,472,472,191,191,191
2021-11-21,Bolton NHS Foundation Trust,0,0,0,605,605,605,600,600,600,0.7777777777777778,0.7777777777777778,0.7777777777777778,257,257,257,88,88,88
2021-11-21,Bradford Teaching Hospitals NHS Foundation Trust,0,0,0,731,731,731,710,710,710,0.75,0.75,0.75,32,32,32,20,20,20
2021-11-21,Brighton And Sussex University Hospitals NHS Trust,0,0,0,845,845,845,827,827,827,0.6170212765957447,0.6170212765957447,0.6170212765957447,414,414,414,145,145,145
2021-11-21,Buckinghamshire Healthcare NHS Trust,0,0,0,572,572,572,569,569,569,0.8333333333333334,0.8333333333333334,0.8333333333333334,278,278,278,131,131,131
2021-11-21,Burton Hospitals NHS Foundation Trust,0,0,0,341,341,341,339,339,339,0.8,0.8,0.8,181,181,181,80,80,80
2021-11-21,Calderdale And Huddersfield NHS Foundation Trust,0,0,0,708,708,708,645,645,645,0.6153846153846154,0.6153846153846154,0.6153846153846154,306,306,306,113,113,113
2021-11-21,Cambridge University Hospitals NHS Foundation Trust,0,0,0,957,957,957,897,897,897,0.95,0.95,0.95,512,512,512,205,205,205
2021-11-21,Chelsea And Westminster Hospital NHS Foundation Trust,0,0,0,695,695,695,661,661,661,0.5555555555555556,0.5555555555555556,0.5555555555555556,273,273,273,114,114,114
2021-11-21,Chesterfield Royal Hospital NHS Foundation Trust,0,0,0,469,469,469,449,449,449,1,1,1,157,157,157,52,52,52
2021-11-21,City Hospitals Sunderland NHS Foundation Trust,0,0,0,736,736,736,631,631,631,0.7222222222222222,0.7222222222222222,0.7222222222222222,247,247,247,90,90,90
2021-11-21,Colchester Hospital University NHS Foundation Trust,0,0,0,570,570,570,552,552,552,0.8461538461538461,0.8461538461538461,0.8461538461538461,225,225,225,62,62,62
2021-11-21,Countess Of Chester Hospital NHS Foundation Trust,0,0,0,505,505,505,496,496,496,1,1,1,265,265,265,92,92,92
2021-11-21,County Durham And Darlington NHS Foundation Trust,0,0,0,879,879,879,728,728,728,0.6666666666666666,0.6666666666666666,0.6666666666666666,341,341,341,120,120,120
2021-11-21,Croydon Health Services NHS Trust,1,1,1,496,496,496,496,496,496,0.7857142857142857,0.7857142857142857,0.7857142857142857,210,210,210,81,81,81
2021-11-21,Dartford And Gravesham NHS Trust,0,0,0,507,507,507,491,491,491,NA,NA,NA,214,214,214,79,79,79
2021-11-21,Derby Teaching Hospitals NHS Foundation Trust,0,0,0,1083,1083,1083,957,957,957,0.6888888888888889,0.6888888888888889,0.6888888888888889,424,424,424,136,136,136
2021-11-21,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,0,0,0,767,767,767,722,722,722,0.84,0.84,0.84,230,230,230,133,133,133
2021-11-21,Dorset County Hospital NHS Foundation Trust,0,0,0,291,291,291,262,262,262,0.75,0.75,0.75,115,115,115,46,46,46
2021-11-21,East And North Hertfordshire NHS Trust,0,0,0,580,580,580,566,566,566,0.7,0.7,0.7,270,270,270,109,109,109
2021-11-21,East Cheshire NHS Trust,0,0,0,240,240,240,237,237,237,0.8333333333333334,0.8333333333333334,0.8333333333333334,130,130,130,52,52,52
2021-11-21,East Kent Hospitals University NHS Foundation Trust,0,0,0,913,913,913,859,859,859,0.8666666666666667,0.8666666666666667,0.8666666666666667,415,415,415,141,141,141
2021-11-21,East Lancashire Hospitals NHS Trust,0,0,0,944,944,944,928,928,928,0.875,0.875,0.875,257,257,257,75,75,75
2021-11-21,East Sussex Healthcare NHS Trust,0,0,0,742,742,742,722,722,722,NA,NA,NA,401,401,401,174,174,174
2021-11-21,Epsom And St Helier University Hospitals NHS Trust,0,0,0,776,776,776,696,696,696,1,1,1,369,369,369,170,170,170
